hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
2823, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2824, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2825, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2826, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2827, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2828, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2829, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2830, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2831, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2832, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2833, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2834, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2835, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2836, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2837, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2838, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2839, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2840, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2841, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2842, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2843, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2844, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2845, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2846, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2847, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2848, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2849, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2850, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2851, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2852, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2853, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2854, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2855, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2856, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2857, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2858, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2859, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2860, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2861, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2862, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2863, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2864, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2865, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2866, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2867, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2868, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2869, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2870, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2871, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2872, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2873, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2874, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2875, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2876, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2877, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2878, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2879, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2880, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2881, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2882, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2883, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2884, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2885, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2886, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2887, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2888, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2889, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2890, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2891, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2892, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2893, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2894, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2895, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2896, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2897, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2898, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2899, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2900, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2901, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2902, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2903, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2904, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2905, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2906, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
2907, 0.00000, 2401.78, 1.93668E-8, 2401.78, -120, 2401.78, 120, 1.9373E-7, -90.7103, 1.91345E-7, 148.941, 1.8945E-7, 30.0942
