
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                 Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

157_d3_26396_d3_1      7.302      1.014          0          0         0         0
157_d3_36723_d3_1      7.302      1.014          0          0         0         0
157_d3_9992_d3_1       7.335      1.019     0.1266      1.726   0.07387     1.007
157_d3_10207_d3_1      7.311      1.016          0          0         0         0
157_d3_9919_d3_1       7.338      1.019     0.1249      1.702   0.07463     1.017
157_d3_34686_d3_1      7.338      1.019     0.1253      1.708   0.07479     1.019
157_d3_34687_d3_1      7.338      1.019     0.1259      1.716   0.07501     1.022
151_d3_616             7.338      1.019     0.1259      1.716   0.07501     1.022
157_d3_10385_d3_1      7.338      1.019     0.1275      1.737   0.07559      1.03
157_d3_10386_d3_1      7.338      1.019     0.1287      1.754   0.07607     1.037
157_d3_10389_d3_1      7.339      1.019      0.131      1.786   0.07693     1.048
157_d3_10390_d3_1      7.339      1.019     0.1326      1.806   0.07751     1.056
157_d3_10391_d3_1      7.339      1.019     0.1346      1.834   0.07829     1.067
157_d3_30206_d3_1      7.339      1.019     0.1362      1.856   0.07888     1.075
157_d3_30207_d3_1      7.339      1.019     0.1372       1.87   0.07927      1.08
157_d3_10392_d3_1      7.339       1.02     0.1383      1.884   0.07966     1.085
157_d3_27989_d3_1       7.34       1.02     0.1401      1.909   0.08036     1.095
157_d3_27990_d3_1       7.34       1.02     0.1413      1.925   0.08079     1.101
157_d3_9921_d3_1        7.34       1.02     0.1452      1.979   0.08227     1.121
157_d3_9926_d3_1        7.34       1.02     0.1466      1.998   0.08286     1.129
157_d3_9927_d3_1        7.34       1.02     0.1467      1.998   0.08285     1.129
157_d3_9928_d3_1       7.341       1.02     0.1477      2.012   0.08333     1.135
157_d3_10393_d3_1      7.414       1.03          0          0         0         0
157_d3_10394_d3_1      7.414       1.03          0          0         0         0
157_d3_10395_d3_1      7.341       1.02      0.149       2.03    0.0839     1.143
157_d3_10396_d3_1      7.341       1.02     0.1501      2.045   0.08441      1.15
157_d3_37118_d3_1      7.341       1.02      0.151      2.057    0.0848     1.155
157_d3_37119_d3_1      7.341       1.02     0.1528      2.081   0.08559     1.166
157_d3_10398_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.291  1.603E18
157_d3_10399_d3_1  4.547E-16  6.317E-17  6.431E-16      141.4      7.29  1.603E18
157_d3_30193_d3_1          0          0          0          0     7.288         0
157_d3_30194_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.288  1.603E18
157_d3_9939_d3_1           0          0          0          0     7.287         0
157_d3_10402_d3_1  9.095E-16  1.263E-16          0          0     7.285   8.01E17
157_d3_10403_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.284  1.602E18
157_d3_10533_d3_1          0          0          0          0     7.283         0
157_d3_10534_d3_1  2.274E-16  3.158E-17  9.375E-16      412.3     7.283  3.203E18
157_d3_10401_d3_1          0          0          0          0     7.282         0
157_d3_28549_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.282  1.601E18
157_d3_28550_d3_1          0          0          0          0     7.282         0
157_d3_10400_d3_1          0          0          0          0     7.281         0
157_d3_9980_d3_1       7.281      1.011          0          0         0         0
157_d3_10404_d3_1      7.341       1.02     0.1528      2.081   0.08556     1.166
157_d3_10405_d3_1      7.341       1.02     0.1528      2.081   0.08555     1.165
157_d3_10800_d3_1      7.341       1.02     0.1528      2.081   0.08555     1.165
157_d3_37136_d3_1      7.342       1.02     0.1545      2.105    0.0862     1.174
157_d3_9938_d3_1       7.419      1.031          0          0         0         0
157_d3_32558_d3_1      7.418       1.03          0          0         0         0
157_d3_32559_d3_1      7.417       1.03          0          0         0         0
157_d3_32560_d3_1      7.416       1.03          0          0         0         0
157_d3_33597_d3_1      7.506      1.043          0          0         0         0
157_d3_33599_d3_1      7.506      1.043          0          0         0         0
155_d3_2398            7.506      1.043          0          0         0         0
158_d3_28519_d3_1      7.506      1.043          0          0         0         0
151_d3_10711           7.506      1.043          0          0         0         0
158_d3_28520_d3_1      7.506      1.043          0          0         0         0
158_d3_28521_d3_1      7.506      1.043          0          0         0         0
158_d3_28522_d3_1      7.506      1.043          0          0         0         0
151_d3_10713           7.506      1.043          0          0         0         0
158_d3_28523_d3_1  4.547E-16  6.317E-17  4.547E-16        100     7.506  1.651E18
158_d3_31601_d3_1          0          0          0          0     7.506         0
157_d3_10439_d3_2  6.431E-16  8.933E-17  6.431E-16        100     7.508  1.167E18
157_d3_10440_d3_1  6.431E-16  8.933E-17  6.431E-16        100     7.508  1.167E18
158_d3_2262_d3_1   5.084E-16  7.062E-17  5.084E-16        100     7.514  1.478E18
